п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
414;"Муниципальное казенное образовательное учреждение ""Гришинская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403211, Волгоградская обл., Киквидзенский р-н, п.Гришин, ул.Школьная, 4;(84445)38-7-21
415;"Муниципальное казенное образовательное учреждение ""Дубровская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403225, Волгоградская обл., Киквидзенский р-н, х.Дубровский, ул.Набережная, 68;(84445)39-1-90
416;"Муниципальное казенное образовательное учреждение ""Ежовская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403235, Волгоградская обл., Киквидзенский р-н, х.Ежовка, ул.Коммунистическая,12;(84445)37-4-90
417;"Муниципальное казенное образовательное учреждение ""Завязенская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403227, Волгоградская обл., Киквидзенский р-н, с Завязка, ул. Первомайская, 21;(84445)36-0-35
418;"Муниципальное казенное образовательное учреждение ""Калачевская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403213, Волгоградская обл., Киквидзенский р-н, х.Калачевский, ул.Молодежная, 1;(84445)39-4-81
419;"Муниципальное казенное образовательное учреждение ""Калиновская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403234, Волгоградская обл., Киквидзенский р-н, х. Калиновский, ул.Ленинская, 14;(84445)37-5-88
420;"Муниципальное казенное образовательное учреждение ""Мачешанская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403232, Волгоградская обл., Киквидзенский р-н, с.Мачеха, ул.Ленинская, 27;(84445)33-3-80
421;"Муниципальное казенное образовательное учреждение ""Чернореченская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403233, Волгоградская обл., Киквидзенский р-н, х.Чернолагутинский, ул.Центральная, 29;(84445)38-4-02
422;"Муниципальное казенное образовательное учреждение ""Александровская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403236, Волгоградская обл., Киквидзенский р-н, с.Александровка, ул.Школьная, 1;(84445)37-9-10
423;"Муниципальное казенное образовательное учреждение ""Алонцевская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403228, Волгоградская обл., Киквидзенский р-н, с.Алонцево, ул.Центральная, 54;(84445)36-4-37
424;"Муниципальное казенное образовательное учреждение ""Михайловская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403237, Волгоградская обл., Киквидзенский р-н, х.Михайловка ул.Центральная, 28;(84445)37-7-16
425;"Муниципальное казенное образовательное учреждение ""Мордвинцевская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403212, Волгоградская обл., Киквидзенский р-н, х.Мордвинцево, ул.Центральная, 9;(84445)38-7-53
426;"Муниципальное казенное образовательное учреждение ""Озерская основная общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403238, Волгоградская обл., Киквидзенский р-н, х.Озерки, ул.Центральная, 33;(84445)39-7-16
