п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
119;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1 имени Ф.Г.Логинова г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404130, Волгоградская область, г. Волжский, ул. Пушкина, 6;(8443)31-12-49
120;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 2 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404130, Волгоградская область, г.Волжский, ул.Карла Маркса, 13;(8443)41-38-32 
121;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 3 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404106, Волгоградская область, г.Волжский, ул. Прибрежная, 91;(8443)27-15-02
122;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 4 имени Волжской военной флотилии  г. Волжского Волгоградской области   ;городской округ - город Волжский Волгоградской области;;404113, Волгоградская область, г. Волжский, ул. Гидростроевская, 1;(8443)34-11-71
123;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 6 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404125, Волгоградская область, г. Волжский,  ул. Наримана Нариманова, 27;(8443)25-46-78
124;Муниципальное казенное образовательное учреждение основная общеобразовательная школа № 7 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404114, Волгоградская область, г. Волжский п. Паромный ул. Плеханова, 10;(8443)42-75-67
125;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 8 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404126, Волгоградская область, г.Волжский, ул. Пушкина, 124;(8443)56-93-01
126;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 9 им.Харламова Ю.П. г. Волжского Волгоградской области ;городской округ - город Волжский Волгоградской области;;404127, Волгоградская область, г.Волжский, ул. Пионерская, 14;(8443)56-70-02
127;"Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 10 г.Волжского Волгоградской области
";городской округ - город Волжский Волгоградской области;;"404130, Волгоградская область,  г. Волжский, ул. Гайдара, 7 

";(8443)31-49-02
128;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 11 им. Скрипки О.В. г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404104, Волгоградская область, г. Волжский, ул. Химиков, 5;(8443)38-33-21
129;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 12 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404102, Волгоградская область, г. Волжский, ул. Пионерская, 1 ;(8443)25-26-41
130;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 13 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404122, Волгоградская область,  г.Волжский, ул. К.Маркса, 36;(8443)31-24-31
131;"Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 14 ""Зеленый шум"" г. Волжского Волгоградской области";городской округ - город Волжский Волгоградской области;;404110, Волгоградская область,  г. Волжский, ул. Космонатвов, 19;(8443)31-45-62
132;Муниципальное казенное образовательное учреждение средняя общеобразовательная школа № 15 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404124, Волгоградская область, г. Волжский, пос. Краснооктябрьский, ул. Калинина, 2;(8443)42-82-17
133;Муниципальное казенное образовательное учреждение основная общеобразовательная школа № 16 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404116, Волгоградская область, г.Волжский, п.Краснооктябрьский, ул. Чапаева, 5;(8443)42-70-33
134;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 17 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404131, Волгоградская область,  г.Волжский, ул.К.Нечаевой, 10;(8442)29-90-92
135;Муниципальное  бюджетное образовательное  учреждение  средняя общеобразовательная   школа № 18  имени Героя Советского Союза Д.М. Карбышева  г. Волжского Волгоградской области ;городской округ - город Волжский Волгоградской области;;404111, Волгоградская область,  г. Волжский, ул. Карбышева, 40;(8443)39-15-35
136;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 19 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404120, Волгоградская область, г. Волжский, ул. Советская, 39;(8443)27-57-51
137;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 20 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404121, Волгоградская область, г.Волжский ул.Пушкина, 44;(8443)38-39-81
138;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 22 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404120, Волгоградская область, г. Волжский. ул. Ак.Королева, 6;(8443)27-14-56
139;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 23 имени 87 Гвардейской стрелковой дивизии г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404111 Волгоградская область, г.Волжский, ул.Набережная, 12;(8443)27-45-38
140;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 24 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404121, Волгоградская область, г. Волжский, ул. Пушкина, 64;(8443)38-36-92
141;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 27 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404102, Волгоградская область, г.Волжский,  ул.Дружбы, 9;(8443)38-11-26
142;"Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 28 ""Адаптивная школа"" г. Волжского Волгоградской области ";городской округ - город Волжский Волгоградской области;;404127, Волгоградская область, г.Волжский, ул. Дружбы, 36;(8443)56-75-01
143;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 29 имени К.Нечаевой г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404131, Волгоградская область, г.Волжский, ул. К.Нечаевой, 7;(8443)29-19-62
144;Муниципальное бюджетное образовательное  учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 30 имени Медведева С.Р. г. Волжского  Волгоградской области;городской округ - город Волжский Волгоградской области;;404105, Волгоградская область, г.Волжский,  ул.Дружбы, 65;(8443)58-01-90 
145;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 31 г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404109, Волгоградская область, г.Волжский, ул. 40 лет Победы, 79;(8443)52-18-46
146;"Муниципальное образовательное учреждение средняя общеобразовательная школа № 32 ""Ассоциированная школа ЮНЕСКО ""Эврика-развитие"" г.Волжского Волгоградской области";городской округ - город Волжский Волгоградской области;;404126, Волгоградская область, г.Волжский,  ул. Пушкина, 124 А;(8443)29-19-37
147;Муниципальное бюджетное образовательное учреждение  средняя общеобразовательная школа № 34 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404118 Волгоградская область, г. Волжский, ул. 40 лет Победы, 80;(8443)52-01-51
148;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 35 им. Дубины В.П. г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404132, Волгоградская область, г. Волжский, ул. 40 лет Победы, 37;(8443)51-57-48
149;"Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 36 имени Героя Советского Союза В.Г. Миловатского г. Волжского Волгоградской области
";городской округ - город Волжский Волгоградской области;;404118, Волгоградская область, г. Волжский, ул. 40 лет Победы, 58;(8443)29-74-71
150;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная  школа с углубленным изучением отдельных предметов № 37 г. Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404133, Волгоградская область, г. Волжский, ул. 40 лет Победы, 48;(8443)51-58-14
151;Муниципальное бюджетное общеобразовательное учреждение кадетская школа имени Героя Российской Федерации С.А. Солнечникова г.Волжского Волгоградской области;городской округ - город Волжский Волгоградской области;;404105, Волгоградская область, г. Волжский, ул. Дружбы, 59;(8443)58-02-51
152;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 1 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;; ул. Советская, д.36, г. Камышин, Волгоградская область, Россия, 403882;(84457) 4-56-55
153;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 4 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Набережная, д. 11, г. Камышин, Волгоградская область, Россия, 403895;(84457) 4-64-65
154;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 5 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Серафимовича, д. 67, г.Камышин, Волгоградская область, Россия  403889;(84457) 4-22-00
155;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 6 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Металлургов, д. 9, г. Камышин, Волгоградская область, Россия ,403870;(84457) 4-38-08
156;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 7 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;5 микрорайон, дом № 46, город Камышин, Волгоградская область, Россия, 403870;(84457) 5-40-49
157;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 8 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Титова, д.11, г. Камышин, Волгоградская область, Россия,  403879;(84457) 9-21-63
158;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 9 городского округа - город Камышин Волгоградской области;городской округ - город Камышин;;6-й микрорайон, д.№15, город Камышин, Волгоградская область, Россия, 403886;(84457) 2-40-45
159;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 10 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Кубанская, д.96, г. Камышин, Волгоградская область, Россия, 403888;(84457) 9-31-88
160;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 11 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Краснодонская, д.7, г. Камышин, Волгоградская область, Россия  403871;(84457) 2-85-33
161;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 12 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Буденного, 16, г. Камышин, Волгоградская область, Россия  403870;(84457) 5-22-11
162;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 14 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Мира, д. 21, г. Камышин, Волгоградская область, Россия  403874;(84457) 9-27-51
163;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 15 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;проезд Феоктистова, дом № 8, город Камышин, Волгоградская область, Россия  403874;(84457) 2-73-43
164;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 16 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;ул. Королева, д. 18, г. Камышин, Волгоградская область, Россия  403874;(84457) 2-97-91
165;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 17 городского округа-город Камышин Волгоградской области   ;городской округ - город Камышин;;ул. Текстильная, д.2, г. Камышин, Волгоградская область, Россия  403874;(84457) 9-40-84
166;Филиал Муниципального бюджетного образовательного учреждения средней общеобразовательной школы №17;городской округ - город Камышин;;ул. Некрасова, 13, г. Камышин, Волгоградская область Россия 403877;(84457) 2-11-96
167;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 18 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;3 микрорайон, дом №24, город Камышин, Волгоградская область, Россия  403877;(84457) 2-61-28
168;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа № 19 городского округа-город Камышин Волгоградской области;городской округ - город Камышин;;5 микрорайон, д.12, г. Камышин, Волгоградская область, Россия  403876;(84457) 5-43-36
169;Муниципальное бюджетное  образовательное учреждение «Арчединская средняя общеобразовательная школа»  городского округа город Михайловка ;городской округ город Михайловка;;403301, Волгоградская обл., Михайловский район, ст. Арчединская, ул. Ленина, 29.;(84463) 6-99-15
170;"Муниципальное бюджетное образовательное учреждение «Безымянская средняя общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403303, Волгоградская обл., Михайловский район, х. Безымянка, ул. Советская, 61.;(84463) 6-18-52
171;"Муниципальное бюджетное образовательное учреждение «Большовская  средняя общеобразовательная школа» 
городского округа город Михайловка";городской округ город Михайловка;;403313, Волгоградская обл., Михайловский район,  х. Большой, ул. Ленина, 29.;(84463) 6-68-75
172;"Муниципальное казенное образовательное учреждение 
«Етеревская кадетская казачья общеобразовательная школа- интернат» городского округа город Михайловка";городской округ город Михайловка;;403314, Волгоградская обл., Михайловский район, ст. Етеревская,  ул. Красная, 1.;(84463) 6-71-04
173;"Муниципальное  казенное образовательное учреждение 
«Катасоновская средняя общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403323, Волгоградская обл., Михайловский район, х. Катасонов, пер. Школьный, 13.;(84463) 6-24-21
174;"Муниципальное бюджетное образовательное учреждение «Карагичевская  средняя общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403044, Волгоградская обл., Михайловский район, х. Карагичевский,  ул. Пархоменко, 13;(84463) 6-62-57
175;"Муниципальное бюджетное образовательное учреждение «Отрадненская  средняя общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403325, Волгоградская обл., Михайловский район, п. Отрадное, ул. Чекунова, 22.;(84463) 6-11-58
176;Муниципальное бюджетное образовательное учреждение «Плотниковская средняя общеобразовательная школа»  городского округа город Михайловка;городской округ город Михайловка;;403017 Волгоградская обл., Михайловский район, х. Плотников 2-й, ул. Школьная, 3.;(84463) 6-05-39
177;"Муниципальное казенное образовательное учреждение 
«Раздорская  средняя общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403306, Волгоградская обл., Михайловский район, х. Раздоры,  ул. Мира, 8;(84463) 6-25-60
178;Муниципальное бюджетное образовательное учреждение «Раковская  средняя общеобразовательная школа» городского округа город Михайловка;городской округ город Михайловка;;403317, Волгоградская обл., Михайловский район,  х. Сухов-2, пер. Блинова, 64.;(84463) 6-42-44
179;"Муниципальное казенное образовательное учреждение 
«Реконструкторская  средняя общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403331, Волгоградская обл., Михайловский район, п. Реконструкция, ул. Ленина, 29.;(84463) 6-42-44
180;Муниципальное бюджетное образовательное учреждение «Сенновская  средняя общеобразовательная школа»  городского округа город Михайловка;городской округ город Михайловка;;403315, Волгоградская обл., Михайловский район, х. Сенной, ул. Ленина, 40.;(84463) 6-77-37
181;Муниципальное бюджетное  образовательное учреждение «Сидорская  средняя общеобразовательная школа»  городского округа город Михайловка;городской округ город Михайловка;;403311, Волгоградская обл., Михайловский район,  с. Сидоры,  ул. Ленина, 38.;(84463) 6-58-40
182;"Муниципальное казенное образовательное учреждение 
«Троицкая средняя общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403330, Волгоградская обл., Михайловский район, х. Троицкий, ул. Школьная, 33-а.;(84463) 6-91-19
183;"Муниципальное казенное образовательное учреждение 
«Моховская основная  общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403312, Волгоградская обл., Михайловский район, х. Моховский , ул.  Маршала Жукова, 58.;(84463) 6-65-11
184;"Муниципальное  казенное образовательное учреждение 
«Старосельская  основная  общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403302, Волгоградская обл., Михайловский район, с. Староселье,  ул. Центральная, 24.;(84463) 6-80-23
185;"Муниципальное казенное образовательное учреждение 
«Рогожинская основная  общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403335, Волгоградская обл., Михайловский район, х. Рогожин, пер. Первомайский, 2;(84463) 6-94-79
186;"Муниципальное казенное образовательное учреждение 
«Страховская основная  общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403330, Волгоградская обл., Михайловский район,  х. Страховский, ул. Школьная, 1.;(84463) 6-46-49
187;"Муниципальное казенное  образовательное учреждение 
«Секачевская основная  общеобразовательная школа»  
городского округа город Михайловка";городской округ город Михайловка;;403312, Волгоградская обл., Михайловский район, х. Секачи,   пер. Школьный, 1.;(84463) 6-86-85
188;"Муниципальное казенное образовательное учреждение 
Ильменская основная  общеобразовательная школа»  городского округа город Михайловка";городской округ город Михайловка;;403327, Волгоградская область, Михайловский район,  х. Ильменский-1, ул. Центральная, 26.;-
189;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 1 г. Михайловки»;городской округ город Михайловка;;403348,, Волгоградская область, г. Михайловка, ул. Ленина, 66;(84463) 4-21-92
190;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 2 г.Михайловки»;городской округ город Михайловка;;403348, Волгоградская область, г. Михайловка, ул.К.Маркса, 14;(84463) 4-23-73
191;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа №3 г. Михайловки»;городской округ город Михайловка;;403343, Волгоградская область, г. Михайловка, ул. Мичурина, 26 «а»;(84463) 2-46-22
192;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 4 г. Михайловки»;городской округ город Михайловка;;403343, Волгоградская область, г. Михайловка, ул. Смехова, 1;(84463) 2-73-80
193;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 5 г.Михайловки»;городской округ город Михайловка;;403343, Волгоградская область, г. Михайловка, ул. Энгельса, 20;(84463) 2-72-41
194;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 7 города Михайловки Волгоградской области»;городской округ город Михайловка;;403343, Волгоградская область, г. Михайловка, ул. Энгельса, 19;(84463) 2-15-44
195;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 9 г. Михайловки»;городской округ город Михайловка;;403341, Волгоградская область, г. Михайловка, ул. Свободы, 142-а;(84463) 2-95-38
196;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 10 г. Михайловки» Волгоградской области;городской округ город Михайловка;;403342, Волгоградская область, г. Михайловка, ул.Новороссийская, 1;(84463) 5-33-64
197;Муниципальное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 11 г. Михайловки» Волгоградской области;городской округ город Михайловка;;403349, Волгоградская область, г. Михайловка, ул. Байкальская, 26;(84463) 4-65-58
198;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа №3 городского округа г.Урюпинск;Городской округ г.Урюпинск;;улица Максима Горького, 47, город Урюпинск, Волгоградская область, 403 111                        ; 8(84442) 4-39-50
199;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа №4 городского округа г.Урюпинск;Городской округ г.Урюпинск;;403 116, город Урюпинск, Волгоградская область, ул.Советская, 150а              ; 8(84442) 3-72-71
200;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа №5 городского округа г.Урюпинск;Городской округ г.Урюпинск;;улица Гастелло, д.3, город Урюпинск, Волгоградская область, 403 111                                   ; 8(84442) 4-27-52
201;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа №6 городского округа г.Урюпинск;Городской округ г.Урюпинск;;улица 50 лет Победы, дом 16, город Урюпинск, Волгоградская область, 403 115                                   ; 8(84442) 3-02-55
202;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа №7 городского округа г.Урюпинск;Городской округ г.Урюпинск;;ул.  Мичурина, д.42, г.Урюпинск, Волгоградская область, 403 117                                ; 8(84442) 3-24-83
203;"Муниципальное автономное образовательное учреждение ""Средняя общеобразовательная школа №8"" городского округа город Урюпинск Волгоградской области";Городской округ г.Урюпинск;;403 111, Волгоградская область, город Урюпинск, проспект Строителей, 4                    ; 8(84442) 3-32-07
204;Муниципальное казенное образовательное учреждение «Средняя общеобразовательная школа №1 имени А.М.  Горького» городского округа город Фролово;г. Фролово;Фроловский;403530,  г.Фролово, Волгоградская обл., ул. Московская, 66;(84465)2-49-17
205;"Муниципальное казенное образовательное учреждение ""Средняя общеобразовательная школа №3 имени А.С.Макаренко"" городского округа город Фролово";г. Фролово;Фроловский;403531 г. Фролово, Волгоградская обл., ул.Рабочая, 62 ;(84465)2-42-75
206;"Муниципальное казенное образовательное учреждение ""Основная общеобразовательная школа №4 имени Ю.А. Гагарина"" городского округа город Фролово";г. Фролово;Фроловский;403533 г. Фролово, Волгоградской области, ул. Гагарина, 23  ;(84465)2-30-45
207;"Муниципальное казенное образовательное учреждение ""Средняя общеобразовательная с углубленным изучением отдельных предметов школа №5"" городского округа город Фролово";г. Фролово;Фроловский;403538 г. Фролово, Волгоградская обл., ул.Революционная, 17  ;(84465)2-10-26
208;"Муниципальное казенное образовательное учреждение ""Средняя общеобразовательная школа №6"" городского округа город Фролово";г. Фролово;Фроловский;403531 г. Фролово, Волгоградская обл., ул.Рабочая, 62 ;(84465)2-41-46
209;Муниципальное  бюджетное образовательное учреждение Алексеевская средняя общеобразовательная школа  Алексеевского муниципального района Волгоградской области;ст. Алексеевская;Алексеевский ;403241, Волгоградская область, ст. Алексеевская, ул. Ленина, 44-а;8(84446)3-11-38
210;Муниципальное  бюджетное образовательное учреждение  Аржановская средняя общеобразовательная школа  Алексеевского муниципального района Волгоградской области;ст. Аржановская;Алексеевский ;403262, ст. Аржановская, д 172,Алексеевского района,Волгоградской обл;8(84446), 3-42-37
211;Муниципальное  бюджетное образовательное учреждение Большебабинская  средняя общеобразовательная школа  Алексеевского муниципального района Волгоградской области;х. Большой Бабинский;Алексеевский ;403257,х. Большой Бабинский, д 21, Алексеевского р-она, Волгоградской обл;8(84446)3-24-32
212;Муниципальное  бюджетное образовательное учреждение Краснооктябрьская средняя общеобразовательная школа  Алексеевского муниципального района Волгоградской области;п. Красный Октябрь;Алексеевский ;"403249,Волгоградская обл., 
п. Красный Октябрь, д.84,
Алексеевского района, Волгоградской обл.";8(84446)3-61-98
213;Муниципальное  бюджетное образовательное учреждение Ларинская средняя общеобразовательная школа  Алексеевского муниципального района Волгоградской области;х. Ларинский;Алексеевский ;403272, х. Ларинский ,д.71, Алексеевского района, Волгоградской обл.,;8(84446)3-27-41
214;"Муниципальное бюджетное образовательное учреждение Реченская  средняя общеобразовательная
школа имени профессора Н.Д.Колесова Алексеевского муниципального района Волгоградской области
";х. Реченский;Алексеевский ;403266, х. Реченский , д.66,Алексеевсвого р-она, Волгоградской обл.,;8(84446)3-47-10
